Country,Capital,Latitude,Longitude,CountryCode,Continent,,,,,,,
Somaliland,Hargeisa,#N/A,#N/A,NULL,Africa,,,,,,,
Western Sahara,El-Aaiún,24.215527,-12.885834,EH,Africa,,,,,,,
Algeria,Algiers,28.033886,1.659626,DZ,Africa,,,,,,,
Angola,Luanda,-11.202692,17.873887,AO,Africa,,,,,,,
Benin,Porto-Novo,9.30769,2.315834,BJ,Africa,,,,,,,
Botswana,Gaborone,-22.328474,24.684866,BW,Africa,,,,,,,
Burkina Faso,Ouagadougou,12.238333,-1.561593,BF,Africa,,,,,,,
Burundi,Bujumbura,-3.373056,29.918886,BI,Africa,,,,,,,
Cameroon,Yaounde,7.369722,12.354722,CM,Africa,,,,,,,
Cape Verde,Praia,16.002082,-24.013197,CV,Africa,,,,,,,
Central African Republic,Bangui,6.611111,20.939444,CF,Africa,,,,,,,
Chad,N'Djamena,15.454166,18.732207,TD,Africa,,,,,,,
Comoros,Moroni,-11.875001,43.872219,KM,Africa,,,,,,,
Democratic Republic of the Congo,Kinshasa,-4.038333,21.758664,CD,Africa,,,,,,,
Republic of Congo,Brazzaville,-0.228021,15.827659,CG,Africa,,,,,,,
Cote d'Ivoire,Yamoussoukro,7.539989,-5.54708,CI,Africa,,,,,,,
Djibouti,Djibouti,11.825138,42.590275,DJ,Africa,,,,,,,
Egypt,Cairo,26.820553,30.802498,EG,Africa,,,,,,,
Equatorial Guinea,Malabo,1.650801,10.267895,GQ,Africa,,,,,,,
Eritrea,Asmara,15.179384,39.782334,ER,Africa,,,,,,,
Ethiopia,Addis Ababa,9.145,40.489673,ET,Africa,,,,,,,
Gabon,Libreville,-0.803689,11.609444,GA,Africa,,,,,,,
The Gambia,Banjul,13.443182,-15.310139,GM,Africa,,,,,,,
Ghana,Accra,7.946527,-1.023194,GH,Africa,,,,,,,
Guinea,Conakry,9.945587,-9.696645,GN,Africa,,,,,,,
Guinea-Bissau,Bissau,11.803749,-15.180413,GW,Africa,,,,,,,
Kenya,Nairobi,-0.023559,37.906193,KE,Africa,,,,,,,
Lesotho,Maseru,-29.609988,28.233608,LS,Africa,,,,,,,
Liberia,Monrovia,6.428055,-9.429499,LR,Africa,,,,,,,
Libya,Tripoli,26.3351,17.228331,LY,Africa,,,,,,,
Madagascar,Antananarivo,-18.766947,46.869107,MG,Africa,,,,,,,
Malawi,Lilongwe,-13.254308,34.301525,MW,Africa,,,,,,,
Mali,Bamako,17.570692,-3.996166,ML,Africa,,,,,,,
Mauritania,Nouakchott,21.00789,-10.940835,MR,Africa,,,,,,,
Mauritius,Port Louis,-20.348404,57.552152,MU,Africa,,,,,,,
Morocco,Rabat,31.791702,-7.09262,MA,Africa,,,,,,,
Mozambique,Maputo,-18.665695,35.529562,MZ,Africa,,,,,,,
Namibia,Windhoek,-22.95764,18.49041,NA,Africa,,,,,,,
Niger,Niamey,17.607789,8.081666,NE,Africa,,,,,,,
Nigeria,Abuja,9.081999,8.675277,NG,Africa,,,,,,,
Rwanda,Kigali,-1.940278,29.873888,RW,Africa,,,,,,,
Saint Helena,Jamestown,-24.143474,-10.030696,SH,Africa,,,,,,,
Sao Tome and Principe,Sao Tome,0.18636,6.613081,ST,Africa,,,,,,,
Senegal,Dakar,14.497401,-14.452362,SN,Africa,,,,,,,
Seychelles,Victoria,-4.679574,55.491977,SC,Africa,,,,,,,
Sierra Leone,Freetown,8.460555,-11.779889,SL,Africa,,,,,,,
Somalia,Mogadishu,5.152149,46.199616,SO,Africa,,,,,,,
South Africa,Pretoria,-30.559482,22.937506,ZA,Africa,,,,,,,
South Sudan,Juba,#N/A,#N/A,SS,Africa,,,,,,,
Sudan,Khartoum,12.862807,30.217636,SD,Africa,,,,,,,
Swaziland,Mbabane,-26.522503,31.465866,SZ,Africa,,,,,,,
Tanzania,Dar es Salaam,-6.369028,34.888822,TZ,Africa,,,,,,,
Togo,Lome,8.619543,0.824782,TG,Africa,,,,,,,
