Country,Latitude,Longitude,CountryCode
Western Sahara,24.215527,-12.885834,EH
Algeria,28.033886,1.659626,DZ
Angola,-11.202692,17.873887,AO
Benin,9.30769,2.315834,BJ
Botswana,-22.328474,24.684866,BW
Burkina Faso,12.238333,-1.561593,BF
Burundi,-3.373056,29.918886,BI
Cameroon,7.369722,12.354722,CM
Cape Verde,16.002082,-24.013197,CV
Central African Republic,6.611111,20.939444,CF
Chad,15.454166,18.732207,TD
Comoros,-11.875001,43.872219,KM
Congo,-0.228021,15.827659,CG
Cote d'Ivoire,7.539989,-5.54708,CI
Djibouti,11.825138,42.590275,DJ
Egypt,26.820553,30.802498,EG
Equatorial Guinea,1.650801,10.267895,GQ
Eritrea,15.179384,39.782334,ER
Ethiopia,9.145,40.489673,ET
Gabon,-0.803689,11.609444,GA
Gambia,13.443182,-15.310139,GM
Ghana,7.946527,-1.023194,GH
Guinea,9.945587,-9.696645,GN
Guinea-Bissau,11.803749,-15.180413,GW
Kenya,-0.023559,37.906193,KE
Lesotho,-29.609988,28.233608,LS
Liberia,6.428055,-9.429499,LR
Libya,26.3351,17.228331,LY
Madagascar,-18.766947,46.869107,MG
Malawi,-13.254308,34.301525,MW
Mali,17.570692,-3.996166,ML
Mauritania,21.00789,-10.940835,MR
Mauritius,-20.348404,57.552152,MU
Morocco,31.791702,-7.09262,MA
Mozambique,-18.665695,35.529562,MZ
Namibia,-22.95764,18.49041,NA
Niger,17.607789,8.081666,NE
Nigeria,9.081999,8.675277,NG
Rwanda,-1.940278,29.873888,RW
Saint Helena,-24.143474,-10.030696,SH
Sao Tome and Principe,0.18636,6.613081,ST
Senegal,14.497401,-14.452362,SN
Seychelles,-4.679574,55.491977,SC
Sierra Leone,8.460555,-11.779889,SL
Somalia,5.152149,46.199616,SO
South Africa,-30.559482,22.937506,ZA
Sudan,12.862807,30.217636,SD
Tanzania,-6.369028,34.888822,TZ
Togo,8.619543,0.824782,TG
Tunisia,33.886917,9.537499,TN
Uganda,1.373333,32.290275,UG
Zambia,-13.133897,27.849332,ZM
Zimbabwe,-19.015438,29.154857,ZW
British Indian Ocean Territory,-6.343194,71.876519,IO
Eswatini,-26.5225,31.4659,SZ
