Country,Crop,p-value
Algeria,pea,1.33E-39
Chad,oats,1.57E-204
Niger,barley,1.40E-138
Burkina Faso,mixedgrass,2.56E-55
Ethiopia,potato,7.04E-212
Guinea,maizefor,4.52E-289
Madagascar,onion,1.00E-202
Mozambique,maize,1.67E-118
Zimbabwe,alfalfa,1.86E-16
Cote d'Ivoire,apple,1.48E-302
Sierra Leone,maizefor,2.07E-43
Liberia,wheat,5.98E-299
Angola,tomato,5.75E-237
Namibia,maize,6.94E-294
Egypt,alfalfa,8.77E-61
Mali,oats,6.96E-119
Mauritania,alfalfa,1.16E-214
Cape Verde,mixedgrass,1.44E-19
Sudan,potato,4.5643716272979e-310
Cameroon,greenpea,1.39E-259
Uganda,mixedgrass,7.06E-208
Congo,greencorn,3.59E-147
Morocco,mixedgrass,1.60E-78
Senegal,mixedgrass,6.48E-30
Eritrea,alfalfa,4.09E-229
Nigeria,carrot,4.14E-225
Guinea-Bissau,alfalfa,5.92E-05
Benin,alfalfa,1.52E-158
Central African Republic,pea,5.52E-147
Zambia,mixedgrass,1e-323
Malawi,mixedgrass,3.45E-83
Ghana,carrot,2.31E-227
Kenya,barley,1.99E-107
Tanzania,mixedgrass,5.89E-288
